< MULTI_LINE_COMMENT, 509 >
< MULTI_LINE_COMMENT, 510 >
< SINGLE_LINE_COMMENT, 507 >
< SINGLE_LINE_COMMENT, 508 >
< PUNCTUATOR, 506, # >
< IDENTIFIER, 501, include >
< PUNCTUATOR, 506, < >
< IDENTIFIER, 501, stdio >
< PUNCTUATOR, 506, . >
< IDENTIFIER, 501, h >
< PUNCTUATOR, 506, > >
< KEYWORD, 500, static >
< KEYWORD, 500, const >
< KEYWORD, 500, double >
< IDENTIFIER, 501, golden_ratio >
< PUNCTUATOR, 506, = >
< FLOAT_CONSTANT, 503, 1.618033 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, static >
< KEYWORD, 500, const >
< KEYWORD, 500, int >
< IDENTIFIER, 501, num_months >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 12 >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, enum >
< IDENTIFIER, 501, Year >
< PUNCTUATOR, 506, { >
< IDENTIFIER, 501, Jan >
< PUNCTUATOR, 506, = >
< INTEGER_CONSTANT, 502, 1 >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Feb >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, March >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, April >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, May >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, June >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, July >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Aug >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Sept >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Oct >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Nov >
< PUNCTUATOR, 506, , >
< IDENTIFIER, 501, Dec >
< PUNCTUATOR, 506, } >
< PUNCTUATOR, 506, ; >
< KEYWORD, 500, typedef >
< KEYWORD, 500, struct >
< PUNCTUATOR, 506, { >
< KEYWORD, 500, char >
< PUNCTUATOR, 506, * >
< IDENTIFIER, 501, member1 >
